Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login Feature,Chrome 114.0.0.0,,,2023-06-07 19:27:02,2023-06-07 19:27:43,41.376s,PASSED
,,,,,,,
Test Cases/Pages/Step Definition/FeatureLogin/Login01 - User Login Using Valid Credential,Chrome 114.0.0.0,,,2023-06-07 19:27:07,2023-06-07 19:27:29,22.335s,PASSED
Start listener action : beforeTestCase,Chrome 114.0.0.0,,,2023-06-07 19:27:07,2023-06-07 19:27:10,3.398s,PASSED
"callTestCase(findTestCase(""Pages/Link""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-07 19:27:11,2023-06-07 19:27:13,2.752s,PASSED
"callTestCase(findTestCase(""Pages/HomePage/Click Signin""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-07 19:27:13,2023-06-07 19:27:17,3.224s,PASSED
"callTestCase(findTestCase(""Pages/Login/Verify Element""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-07 19:27:17,2023-06-07 19:27:19,2.227s,PASSED
"callTestCase(findTestCase(""Pages/Login/Input Username""), [""username"":""firstlast@email.com""], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-07 19:27:19,2023-06-07 19:27:20,1.420s,PASSED
"callTestCase(findTestCase(""Pages/Login/Input Password""), [""password"":""Pass.123""], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-07 19:27:20,2023-06-07 19:27:22,1.275s,PASSED
"callTestCase(findTestCase(""Pages/Login/Click Login""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-07 19:27:22,2023-06-07 19:27:25,3.429s,PASSED
"callTestCase(findTestCase(""Pages/HomePage/SuccessLogin""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-07 19:27:25,2023-06-07 19:27:28,3.452s,PASSED
Start listener action : afterTestCase,Chrome 114.0.0.0,,,2023-06-07 19:27:28,2023-06-07 19:27:29,0.736s,PASSED
,,,,,,,
Test Cases/Pages/Step Definition/FeatureLogin/Login02 - User Login Without Username or Email,Chrome 114.0.0.0,,,2023-06-07 19:27:29,2023-06-07 19:27:43,14.108s,PASSED
Start listener action : beforeTestCase,Chrome 114.0.0.0,,,2023-06-07 19:27:29,2023-06-07 19:27:32,2.612s,PASSED
"callTestCase(findTestCase(""Pages/Link""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-07 19:27:32,2023-06-07 19:27:34,1.930s,PASSED
"callTestCase(findTestCase(""Pages/HomePage/Click Signin""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-07 19:27:34,2023-06-07 19:27:37,3.286s,PASSED
"callTestCase(findTestCase(""Pages/Login/Verify Element""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-07 19:27:37,2023-06-07 19:27:39,2.017s,PASSED
"callTestCase(findTestCase(""Pages/Login/Input Username""), [""username"":""""], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-07 19:27:39,2023-06-07 19:27:40,0.939s,PASSED
"callTestCase(findTestCase(""Pages/Login/Input Password""), [""password"":""Pass.123""], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-07 19:27:40,2023-06-07 19:27:41,0.902s,PASSED
"callTestCase(findTestCase(""Pages/Login/Click Login""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-07 19:27:41,2023-06-07 19:27:42,0.506s,PASSED
"callTestCase(findTestCase(""Pages/Login/Verify Required Username""), [""expected"":""""], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-07 19:27:42,2023-06-07 19:27:43,0.801s,PASSED
Start listener action : afterTestCase,Chrome 114.0.0.0,,,2023-06-07 19:27:43,2023-06-07 19:27:43,0.716s,PASSED
